Title,Price1,product__pricing_area2
Blistex Lip Balm Conditioning | 4.25g,$4.00,$94.12 per 100g
Red Seal Herbal Mint Toothpaste | 110g,$4.50,$4.09 per 100g
Nivea Men Shaving Foam for Sensitive Skin | 200mL,$6.00,$3.00 per 100mL
Nivea Men Shaving Gel for Sensitive Skin | 200mL,$6.50,$3.25 per 100mL
Schick Xtreme 3 Sensitive with Aloe Disposable Razor | 4 pack,$5.30,$1.33 per 1ea
Libra Extra Regular Pads | 14 pack,$5.00,$0.36 per 1ea
Rexona Men Antiperspirant Aerosol Deodorant Original | 250mL,$6.00,$2.40 per 100mL | Was $6.50 on May 2022
Dove Men Antiperspirant Deodorant Extra Fresh | 254mL,$8.50,$3.35 per 100mL
Nivea Body Lotion Aloe Vera | 400mL,$9.00,$2.25 per 100mL
Nivea Irresistibly Smooth Body Lotion Moisturiser + Shea Butter | 400mL,$9.00,$2.25 per 100mL
Sensodyne Sensitivity Gum Extra Fresh Toothpaste | 100g,$12.30,$12.30 per 100g
Sensodyne Sensitive Teeth Pain Complete Care Toothpaste | 100g,$12.30,$12.30 per 100g
Gillette Sensor 3 Comfort Disposable Razors | 8 pack,$12.50,$1.56 per 1ea
Coles Toothbrush Case | 1 pack,$1.15,$1.15 per 1ea
Coles Antibacterial Hand Wash Sweet Orange | 250mL,$2.00,$0.80 per 100mL
Coles Medistrips Waterproof Strips | 20 pack,$2.15,$0.11 per 1ea
Rexona Men Sport Antiperspirant Roll On Deodorant | 50mL,$2.25,$4.50 per 100mL | Was $4.50
Rexona Women Antiperspirant Roll On Deodorant Classic | 50mL,$2.25,$4.50 per 100mL | Was $4.50
Piksters Eco Charcoal Floss Picks | 30 pack,$2.50,$0.08 per 1ea | Was $3.50
Oral B Pro Health Advance Whitening | 110g,$2.75,$2.50 per 100g | Was $5.50
Mitchum Women's Roll On Shower Fresh Antiperspirant Deodorant | 50mL,$3.52,$7.04 per 100mL | Was $4.40
Swisspers Cotton Balls | 200 pack,$3.80,$1.90 per 100ea
Kleenex Anti-Bacterial To-Go Wipes | 40 pack,$4.00,$0.10 per 1ea | Was $4.70
Rexona Men Antiperspirant Aerosol Advanced Extra Cool Deodorant | 220mL,$4.25,$1.93 per 100mL | Was $8.50
Dettol Antibacterial Liquid Hand Wash Pump Raspberry | 250mL,$2.80,$1.12 per 100mL
Oral B 3D White Luxe Glamorous White | 95g,$4.50,$4.74 per 100g | Was $9.00
L'Oreal Elvive Colour Protect Shampoo | 300mL,$4.50,$1.50 per 100mL | Was $8.00
Pikster Interdental Brush Size 1 Small | 10 pack,$4.90,$0.49 per 1ea
Vo5 Styling Gel Wet Look | 175mL,$4.00,$2.29 per 100mL | Was $4.60 on Jan 2021
Velvet Pure Soap | 4 pack,$4.90,$1.23 per 1ea
Dettol Rose & Cherry In Bloom Foam Hand Wash Refill | 900mL,$6.30,$0.70 per 100mL | Was $10.50
Dettol Sapoderm Hygienic Bar Soap Cleanser for Acne | 375g,$5.00,$1.33 per 100g
Palmolive Luminous Oil Moroccan Argan Oil & Camellia Shampoo | 350mL,$6.00,$1.71 per 100mL
Libra Invisible Pads Goodnight | 8 pack,$5.50,$0.69 per 1ea
Bosistos Banksia Nerolina & Lavender Body Wash Pump | 1L,$8.00,$0.80 per 100mL | Was $16.00
Garnier Hydrabomb Tissue Mask Green Tea | 28g,$7.00,$25.00 per 100g
Dettol Profresh Shower Gel Body Wash Peach and Raspberry | 950mL,$8.75,$0.92 per 100mL | Was $12.50
Tampax Regular Tampons With Applicator | 20 pack,$7.00,$0.35 per 1ea
Pantene  Daily Moisture Renewal Conditioner | 375mL,$9.00,$2.40 per 100mL
Dove Men Antiperspirant Deodorant Clean Comfort | 254mL,$8.50,$3.35 per 100mL
Palmolive Naturals Cherry Blossom Shower Gel  | 1.8L,$12.00,$0.67 per 100mL | Was $14.00
