Title,Price,product__pricing_area
McCain Frozen Ultra Thin Crust Angus Beef Pizza | 320g,$6.00,$1.88 per 100g
Coles Vanilla Ice Cream | 4L,$7.00,$0.18 per 100mL
Bulla Creamy Classics Triple Choc Cone 4Pk | 520mL,$4.50,$0.87 per 100mL | Was $9.00
Annabel Karmel Butter Chicken | 200g,$3.50,$1.75 per 100g
Bulla Murray Street Ice Cream Chocolate & Fudge Ripple | 1L,$6.00,$0.60 per 100mL | Was $12.00
McCain Pub Size Parma Veal Schnitzels & Veg | 480g,$6.50,$1.35 per 100g | Was $8.50
Annabel Karmel Meals Bolognaise Pasta Bake | 200g,$3.50,$1.75 per 100g
Streets Magnum Ice Cream Almond | 1 pack,$4.80,$4.80 per 1ea
Steggles Frozen Chicken Dino Snacks | 1kg,$11.00,$11.00 per 1kg | Was $13.00
Birds Eye Frozen Southern Blue Whiting Fish Fillets 6 Pack | 425g,$11.00,$25.88 per 1kg
Magnum Chocolate Classic Remix Ice Cream 4 Pack | 360mL,$10.50,$2.92 per 100mL
Haldirams Cheese Naan 4pack | 320g,$8.00,$2.50 per 100g
Birds Eye Golden Crunch Microwave Crinkle Chips | 140g,$3.00,$21.43 per 1kg
Connoisseur Rocky Road 4 Pack | 360mL,$9.50,$2.64 per 100mL
Connoisseur Salted Pretzel 4 Pack | 360mL,$9.50,$2.64 per 100mL
McCain Quick Cook Mini Smiles | 500g,$4.30,$8.60 per 1kg
McCain Pub Size Chicken & Bacon Bake | 480g,$6.50,$1.35 per 100g | Was $8.50
Coles Frozen Bake At Home Butter Croissants 6 pack | 360g,$6.70,$1.86 per 100g
Streets Golden Gaytime Bites | 279mL,$7.70,$2.76 per 100mL | Was $11.00
Pampas Frozen Puff Pastry Sheets Extra Light 6 pack | 1kg,$5.20,$0.52 per 100g
McCain Frozen Supreme Family Pizza | 500g,$7.50,$1.50 per 100g
McCain Lil Pizzas Ham & Pineapple 4 Pack | 400g,$5.50,$1.38 per 100g | Was $7.00 on May 2022
Hershey's Cookies & Creme Sticks 4Pack | 360mL,$4.50,$1.25 per 100mL
Bulla Creamy Classics Choc Honeycomb Cone 4 Pack | 520mL,$4.50,$0.87 per 100mL | Was $9.00
I&J Original Crumbed Fish Fillets | 425g,$5.00,$11.76 per 1kg | Was $6.50
Berri Quelch Apple Berry Fruit Juice Icy Tubes 24 pack | 1.68L,$5.85,$0.35 per 100mL | Was $7.30
Berri Quelch Tropical Fruit Juice Icy Tubes 24 pack | 1.68L,$5.85,$0.35 per 100mL | Was $7.30
Why Meat Original Mini Potato Cakes | 400g,$6.00,$15.00 per 1kg
Bulla Chupa Chups Mixed Mini Sticks | 400mL,$8.00,$2.00 per 100mL
KB Salt & Pepper Squid | 360g,$8.00,$22.22 per 1kg | Was $10.50
Streets Frozen Viennetta Birthday Cake | 650mL,$8.00,$1.23 per 100mL
Haldirams Hot & Spicy Samosa | 650g,$11.50,$1.77 per 100g
Birds Eye Deli Golden Ale Chips | 600g,$3.90,$6.50 per 1kg
Coles Pesto Pasta & Fetta | 375g,$3.30,$0.88 per 100g
Birds Eye Golden Crunch Crinkle Cut Chips | 900g,$5.00,$5.56 per 1kg
Streets Golden Gaytime Violet Crumble 4 Pack | 400mL,$4.75,$1.19 per 100mL | Was $9.50
Zooper Dooper Lemonade 24X70mL | 24 pack,$5.85,$0.35 per 100mL | Was $6.50
Pat & Stick's Sandwich Caramel Pecan | 1 each,$5.50,$5.50 per 1ea
McCain Pub Size Chicken Kiev | 480g,$6.50,$1.35 per 100g | Was $8.50
Annabel Karmel Meals Cottage Pie | 200g,$3.50,$1.75 per 100g
Twisted Frozen Strawberry And Chocolate + Vanilla Bean Yoghurt | 480mL,$7.50,$1.56 per 100mL
Bulla Creamy Classics Ice Cream Honeycomb Sticks 4 Pack | 360mL,$5.00,$1.39 per 100mL
Bulla Creamy Classics Mint Choc Chip Ice Cream Tub | 2L,$10.00,$0.50 per 100mL
Magnum Ice Cream Dairy Free Almond 3Pack | 270mL,$9.00,$3.33 per 100mL
Bulla Splits Multi Flavoured Ice Cream Sticks 10 pack | 750mL,$8.00,$1.07 per 100mL
Steggles Frozen Hot & Spicy Chicken Breast Tenders | 400g,$6.00,$15.00 per 1kg
Coles Prawns Cooked Peeled Tail Off | 350g,$10.00,$28.57 per 1kg
Farm Pride Frozen Egg Whites | 950mL,$10.50,$1.11 per 100mL
Peters Drumstick Classic Vanilla Ice Cream Cone 16 pack | 1.9L,$20.00,$1.05 per 100mL
Bulla Crunch Vanilla Ice Cream 8 pack | 631mL,$8.00,$1.27 per 100mL
Birds Eye Snap Frozen Baby Beans | 500g,$3.40,$6.80 per 1kg
Coles Frozen Corn Cobs | 1kg,$3.00,$3.00 per 1kg
King Of Kings Takoyaki Octopus Balls | 450g,$4.25,$0.94 per 100g | Was $8.50
Coles Tempura Chicken Nuggets | 400g,$3.60,$0.90 per 100g
Pat & Stick's Sandwich Oat Milk Double Chocolate (Vegan) | 1 each,$5.50,$5.50 per 1ea
Streets Magnum Ice Cream Classic | 1 pack,$4.80,$4.80 per 1ea
Birds Eye Frozen Seasoned Sides Mediterranean Mix | 600g,$5.50,$9.17 per 1kg
Birds Eye Frozen Stir Fry Oriental  | 850g,$5.00,$5.88 per 1kg
Filosophy Mini Spirals Spinach And Feta | 450g,$8.20,$1.82 per 100g
Peters Lactose Free Ice Cream | 1.2L,$9.00,$7.50 per 1L
Katoomba Roti Paratha 20 Pack | 1.3kg,$9.00,$0.69 per 100g
Connoisseur Ice Cream Mini Cookies & Cream 6 Pack | 360mL,$9.50,$2.64 per 100mL
Connoisseur Ice Cream Salted Caramel 4 Pack | 400mL,$9.50,$2.38 per 100mL
Coles Frozen Strawberries | 1kg,$10.00,$1.00 per 100g | Was $12.00 on Aug 2022
Haagen Dazs Cookies & Cream Ice Cream Tub | 457mL,$12.50,$2.74 per 100mL
KB Gyoza Pork | 750g,$12.75,$1.70 per 100g
Sam's Frozen Pelmeni Beef & Pork Dumplings | 800g,$14.70,$1.84 per 100g
Birds Eye Frozen Fish Fingers 40 Pieces | 1kg,$10.50,$10.50 per 1kg
Lean Cuisine Green Chicken Curry Rice | 280g,$5.00,$1.79 per 100g
